DÉPARTEMENT CODE,DÉPARTEMENT,COMMUNE
75,Paris,Paris
78,Yvelines,Chatou
78,Yvelines,Le Chesnay
78,Yvelines,Croissy-sur-Seine
78,Yvelines,Maisons-Laffitte
78,Yvelines,Marly-le-Roi
78,Yvelines,Le Pecq
78,Yvelines,Rocquencourt
78,Yvelines,Saint-Germain-en-Laye
78,Yvelines,Vélizy-Villacoublay
78,Yvelines,Versailles
78,Yvelines,Le Vésinet
78,Yvelines,Viroflay
92,Hauts-de-Seine,Antony
92,Hauts-de-Seine,Asnières-sur-Seine
92,Hauts-de-Seine,Bagneux
92,Hauts-de-Seine,Bois-Colombes
92,Hauts-de-Seine,Boulogne-Billancourt
92,Hauts-de-Seine,Bourg-la-Reine
92,Hauts-de-Seine,Châtenay-Malabry
92,Hauts-de-Seine,Châtillon
92,Hauts-de-Seine,Chaville
92,Hauts-de-Seine,Clamart
92,Hauts-de-Seine,Clichy
92,Hauts-de-Seine,Colombes
92,Hauts-de-Seine,Courbevoie
92,Hauts-de-Seine,Fontenay-aux-Roses
92,Hauts-de-Seine,Garches
92,Hauts-de-Seine,La Garenne-Colombes
92,Hauts-de-Seine,Issy-les-Moulineaux
92,Hauts-de-Seine,Levallois-Perret
92,Hauts-de-Seine,Malakoff
92,Hauts-de-Seine,Marnes-la-Coquette
92,Hauts-de-Seine,Meudon
92,Hauts-de-Seine,Montrouge
92,Hauts-de-Seine,Nanterre
92,Hauts-de-Seine,Neuilly-sur-Seine
92,Hauts-de-Seine,Le Plessis-Robinson
92,Hauts-de-Seine,Puteaux
92,Hauts-de-Seine,Rueil-Malmaison
92,Hauts-de-Seine,Saint-Cloud
92,Hauts-de-Seine,Sceaux
92,Hauts-de-Seine,Sèvres
92,Hauts-de-Seine,Suresnes
92,Hauts-de-Seine,Vanves
92,Hauts-de-Seine,Vaucresson
92,Hauts-de-Seine,Ville-d'Avray
93,Seine-Saint-Denis,Aubervilliers
93,Seine-Saint-Denis,Bagnolet
93,Seine-Saint-Denis,Les Lilas
93,Seine-Saint-Denis,Montreuil
93,Seine-Saint-Denis,Neuilly-Plaisance
93,Seine-Saint-Denis,Pantin
93,Seine-Saint-Denis,Le Pré-Saint-Gervais
93,Seine-Saint-Denis,Le Raincy
93,Seine-Saint-Denis,Saint-Denis
93,Seine-Saint-Denis,Saint-Ouen
93,Seine-Saint-Denis,Villemomble
94,Val-de-Marne,Arcueil
94,Val-de-Marne,Bry-sur-Marne
94,Val-de-Marne,Cachan
94,Val-de-Marne,Charenton-le-Pont
94,Val-de-Marne,Fontenay-sous-Bois
94,Val-de-Marne,Gentilly
94,Val-de-Marne,L'Haÿ-les-Roses
94,Val-de-Marne,Ivry-sur-Seine
94,Val-de-Marne,Joinville-le-Pont
94,Val-de-Marne,Le Kremlin-Bicêtre
94,Val-de-Marne,Maisons-Alfort
94,Val-de-Marne,Nogent-sur-Marne
94,Val-de-Marne,Le Perreux-sur-Marne
94,Val-de-Marne,Saint-Mandé
94,Val-de-Marne,Saint-Maur-des-Fossés
94,Val-de-Marne,Saint-Maurice
94,Val-de-Marne,Villejuif
94,Val-de-Marne,Vincennes
95,Val-d'Oise,Enghien-les-Bains
